"prioridad","id","sku","titulo","categoria","marca","precio","stock","estado_stock","unidades_12m","facturado_12m","tiene_foto","tiene_descripcion"
"48","6489","536","Hidrogel matte","Vidrios templados e hidrogel","","10000",,"instock","3","30000","NO","SI"
"49","6486","532","Hidrogel smartwatch","Vidrios templados e hidrogel","","5000",,"instock","3","15000","NO","SI"
"50","6484","530","Vidrio templado | glass","Vidrios templados e hidrogel","","4000","9884","instock","3","12000","NO","SI"
"51","6751","RTR-TPL-WA850RE","Extensor Access Point TP Link TL WA850RE","Routers y WiFi","TP-Link","47000","1","instock","3","136000","NO","SI"
"52","6503","568","Cable usb a Lightning 1mt","Cables de carga","","6000","9977","instock","3","18000","NO","SI"
"53","6558","RTR-MERC-EXTENS","Extensor Access point MERCUSYS 300mbs","Routers y WiFi","Mercusys","33000","0","outofstock","3","66000","NO","SI"
"54","6619","AUR-FOX-MANOS-2","Manos libre Fox Box boost pulse Tipo C","Auriculares inalámbricos","FoxBox","17000","2","instock","3","17000","NO","SI"
"55","6492","539","Hidrogel tablet","Tablets","","25000",,"instock","3","75000","NO","SI"
"56","6682","PER-GENI-NX7000","Mouse GENIUS inalambrico NX7000","Periféricos","Genius","19000","2","instock","3","57000","NO","SI"
"57","6967","PER-BULL-MOUSE","Mouse inalambrico recargable USB y BT BULLTEC","Periféricos","Bulltec","19000","5","instock","3","17500","NO","SI"
"58","7324","TVS-NOGA-FIJO65P-2","Soporte Fijo para TV Noganet 14 a 42''","Soportes para TV","Noganet","15000","7","instock","3","53000","NO","SI"
"59","7441","CAU-GEN-WAY-2","Cargador de auto Voltjet 12v 38w","Cargadores de auto","Voltjet","17000","2","instock","3","17000","NO","SI"
"60","6565","CAU-GEN-WAY","Cargador de auto 12v WAY QC","Cargadores de auto","","13000","0","outofstock","3","39000","NO","SI"
"61","7437","CAU-GEN-WAY-1","Cargador de auto 12V Genérico micro usb","Cargadores de auto","Ringo","12000","9","instock","3","44000","NO","SI"
"62","6810","ADP-GEN-CONVER","Convertidor conversor VGA a HDMI","Adaptadores y conversores","","12000","0","outofstock","3","22000","NO","SI"
"63","7236","","Cable USB para impresora","Adaptadores y conversores","","7000","0","outofstock","3","15000","NO","NO"
"64","7116","","Receptor Adaptador Bluetooth BT DINAX","Adaptadores de red","","9500","14","instock","3","9500","NO","NO"
"65","7101","","iPhone 14 128gb 84% (37873)","Smartphones usados","Apple","390","1","instock","3","1485","NO","NO"
"66","6573","PHO-NOKIA-NOKIA","Nokia 106","Smartphones nuevos","Nokia","58000","2","instock","2","116000","NO","SI"
"67","6933","PHO-APPLE-17PM256-2","iPhone 17 Pro Max SELLADO 256gb (21210)","Smartphones nuevos","Apple","1370","1","instock","2","3100","NO","SI"
"68","6968","PHO-APPLE-16P256G-5","iPhone 16 Pro 256gb 89% (13236)","Smartphones nuevos","Apple","840","1","instock","2","1110","NO","SI"
"69","7278","","iPhone 12 Pro 128gb 100% (63695)","Smartphones nuevos","Apple","310","0","outofstock","2","1680","NO","NO"
"70","6948","PER-NETM-G904","Silla Butaca gamer DONNA AFC5204","Periféricos","Netmak","248000","2","instock","2","0","NO","SI"
"71","6867","TVB-ROKU-ROKU","Roku Streamer HD","TV Box y streaming","Roku","98000","2","instock","2","189000","NO","SI"
"72","6958","CAR-FOX-FOX-3","Cargador Fox Box MEGA 30w C/ cable Tipo C magnetico","Cargadores de pared","FoxBox","36000","2","instock","2","72000","NO","SI"
"73","6295","191","Cargador Apple Battery pack 5.000","Cargadores de pared","Apple","29000","0","outofstock","2","58000","NO","SI"
"74","6479","514","Router TP-Link Archer C86","Routers y WiFi","TP-Link","98000","1","instock","2","138000","NO","SI"
"75","7808","CAR-FOX-FOX-4","Cargador fox box MEGA 3 20w","Cargadores de pared","FoxBox","23000","0","outofstock","2","51000","NO","SI"
"76","6533","878","Fuente Iphone 20W Tipo C","Cargadores de pared","Apple","12000","13","instock","2","24000","NO","SI"
"77","7124","","Cable USB tipo-c a Lightning 1mt Premium","Cargadores de pared","","8000","8","instock","2","8000","NO","NO"
"78","7323","","Cargador IBEK Micro usb v8 3.8a","Cargadores de pared","","7500","8","instock","2","7500","NO","NO"
"79","6699","CAR-ALO-ALO","Cargador ALO Pocket 15W tipo C (S/Cable)","Cargadores de pared","ALO","7000","5","instock","2","14000","NO","SI"
"80","7442","","Parlantes 6x9 Maverick 650w Mav 10690","Accesorios Vehículo","Maverick","98000","0","outofstock","2","139000","NO","NO"
"81","7682","CLI-ORYX-CALOVE-2","Caloventor Dinax 2000w","Climatización","Dinax","35000","4","instock","2","62900","NO","SI"
"82","6487","533","Hidrogel clear AA","Vidrios templados e hidrogel","","5000",,"instock","2","10000","NO","SI"
"83","6530","839","Glass vidrio templado de camaras brillo","Vidrios templados e hidrogel","","5000","999981","instock","2","10000","NO","SI"
"84","6529","838","Glass vidrio templado de camaras","Vidrios templados e hidrogel","","4500","999979","instock","2","6667","NO","SI"
"85","6774","AUR-FOX-AURICU-2","Auriculares manos libres Fox Box FORCE 2.0","Auriculares inalámbricos","FoxBox","49000","2","instock","2","98000","NO","SI"
"86","7661","PWB-FOX-POWER-1","Power Bank Fox Box ENERGY port 10.000 mah","Power banks","FoxBox","73000","2","instock","2","67000","NO","SI"
"87","7238","","Parlantes redondos 4'' Planter 280w","Parlantes profesionales","","45000","0","outofstock","2","45000","NO","NO"
"88","6959","PWB-FOX-POWER","Power Bank Fox Box ENERGY port 20.000 mah","Power banks","FoxBox","67000","2","instock","2","140550","NO","SI"
"89","6973","CAB-VAPX-VAPEX-2","Cable USB v3 mini 1,5m Vapex","Cables de carga","Vapex","8000","3","instock","2","16000","NO","SI"
"90","6524","776","Cable ALO Line 15W USB a Tipo C","Cables de carga","ALO","5000","8","instock","2","0","NO","SI"
"91","7778","","Kit Directv prepago 46cm","Sin categorizar","","49000","0","outofstock","2","98000","NO","NO"
"92","7028","","Vaper Ignite ICE 40k","Vapers","Ignite","48000","4","instock","2","48000","NO","NO"
"93","6603","TVS-NOGA-MOV","Soporte Movil para TV Noganet 1hasta 55""","Soportes para TV","Noga","46000","2","instock","2","16000","NO","SI"
"94","6811","VEH-DINX-TEREO20","Auto Estereo fijo DINAX dxstereo20","Estéreos de auto","Dinax","34000","3","instock","2","30000","SI","SI"
"95","6792","AUR-NETM-NETMAK","Auricular NETMAK NM Live","Auriculares con cable","Netmak","27000","1","instock","2","29000","NO","SI"
"96","7026","","Vaper ElfBar 15k","Vapers","Elfbar","29000","3","instock","2","58000","NO","NO"
"97","6279","83","Auricular EarPods Lightning (conexion directa)","Auriculares con cable","","19500","0","outofstock","2","36667","NO","SI"
"98","6668","OTR-HIKS-PENDRI64G","Pendrive Hiksemi 64gb","Varios","Hiksemi","35000","2","instock","2","35000","NO","SI"
"99","6718","MAT-GEN-TERMO","Termo media manija 1L","Mates","","22000","3","instock","2","22000","NO","SI"
"100","6939","TVS-NETM-FIJO43P","Soporte para TV fijo NETMAK con inclinación 23 - 43''","Soportes para TV","Netmak","18000","4","instock","2","34000","NO","SI"
"101","6777","GAC-TARG-GAMER","Auricular gamer TARGA ODISSEY 300","Accesorios gaming","Targa","29000","3","instock","2","25000","NO","SI"
"102","6714","MAT-GEN-MATERA","Matera canasta simil cuero","Mates","","17000","0","outofstock","2","34500","NO","SI"
"103","6956","AUR-GEN-P47","Auricular P47","Auriculares con cable","","9500","1","instock","2","0","NO","SI"
"104","6864","CAU-TREQ-AUTO","Cargador de auto 12v TREQA 38w","Cargadores de auto","Treqa","19000","1","instock","2","0","NO","SI"
"105","6947","RAD-SEIS-QMK9015","Sintonizador FM SEISA BT QMK9015","Radios y Sintonizadores","Seisa","15000","0","outofstock","2","15000","NO","SI"
"106","6863","PIL-GEN-INAL","Cargador inalámbrico Magsafe AAA","Pilas y baterías","","16000","0","outofstock","2","16000","NO","SI"
"107","6519","758","Cable auxiliar jack 3.5 COMUN","Cables de audio","","3500","15","instock","2","7000","NO","SI"
"108","6634","ADP-GEN-JACK","Adaptador Jack 3,5 a ligthning","Adaptadores y conversores","","7500","7","instock","2","15000","NO","SI"
"109","6771","CAB-KOLKE-HDMI-2","Cable HDMI KOLKE 1,5m","Cables HDMI y video","Kolke","7500","1","instock","2","15000","NO","SI"
"110","7016","","Tira correa larga  para celu cordon","Accesorios para Celular","","8000","1","instock","2","0","NO","NO"
